input,output,type
NUM:875513503;OP:ECHO,875513503,ECHO
NUM:495955635;OP:ECHO,495955635,ECHO
NUM:843210279;OP:ECHO,843210279,ECHO
NUM:922783486;OP:ECHO,922783486,ECHO
NUM:576224530;OP:ECHO,576224530,ECHO
NUM:880636684;OP:ECHO,880636684,ECHO
NUM:196043661;OP:ECHO,196043661,ECHO
NUM:876897342;OP:ECHO,876897342,ECHO
NUM:257034317;OP:ECHO,257034317,ECHO
NUM:363934568;OP:ECHO,363934568,ECHO
NUM:303678380;OP:ECHO,303678380,ECHO
NUM:52363975;OP:ECHO,52363975,ECHO
NUM:148611529;OP:ECHO,148611529,ECHO
NUM:184290494;OP:ECHO,184290494,ECHO
NUM:84164887;OP:ECHO,84164887,ECHO
NUM:870846751;OP:ECHO,870846751,ECHO
NUM:546198058;OP:ECHO,546198058,ECHO
NUM:153072997;OP:ECHO,153072997,ECHO
NUM:814857930;OP:ECHO,814857930,ECHO
NUM:2999156;OP:ECHO,2999156,ECHO
NUM:373437505;OP:ECHO,373437505,ECHO
NUM:766248557;OP:ECHO,766248557,ECHO
NUM:206002682;OP:ECHO,206002682,ECHO
NUM:502985696;OP:ECHO,502985696,ECHO
NUM:408065577;OP:ECHO,408065577,ECHO
NUM:294636669;OP:ECHO,294636669,ECHO
NUM:15571406;NUM:241154835;OP:XOR,246555357,XOR
NUM:27931929;NUM:942674897;OP:XOR,966403784,XOR
NUM:42077808;NUM:348600158;OP:XOR,373635374,XOR
NUM:122067247;NUM:603416186;OP:XOR,615645013,XOR
NUM:130982612;NUM:874041355;OP:XOR,869692127,XOR
NUM:137836518;NUM:891500705;OP:XOR,1024724807,XOR
NUM:152004262;NUM:691244509;OP:XOR,540863355,XOR
NUM:241844070;NUM:295529319;OP:XOR,536302593,XOR
NUM:243705569;NUM:340694957;OP:XOR,449327436,XOR
NUM:336558556;NUM:390513655;OP:XOR,55163435,XOR
NUM:369032407;NUM:14477131;OP:XOR,354556828,XOR
NUM:371938334;NUM:279957913;OP:XOR,109348231,XOR
NUM:388717696;NUM:258229985;OP:XOR,407837281,XOR
NUM:445636451;NUM:558671280;OP:XOR,1002666707,XOR
NUM:447838758;NUM:104944269;OP:XOR,485501099,XOR
NUM:451772043;NUM:984958657;OP:XOR,542652490,XOR
NUM:459474689;NUM:122835125;OP:XOR,472995764,XOR
NUM:466250345;NUM:401789103;OP:XOR,205044422,XOR
NUM:494306182;NUM:308626627;OP:XOR,252954437,XOR
NUM:518188784;NUM:409180417;OP:XOR,109148145,XOR
NUM:528555996;NUM:853054124;OP:XOR,760843632,XOR
NUM:529178116;NUM:763923803;OP:XOR,838996831,XOR
NUM:529786863;NUM:990338661;OP:XOR,613726602,XOR
NUM:554811526;NUM:558503419;OP:XOR,6018429,XOR
NUM:652885986;NUM:178083662;OP:XOR,746023084,XOR
NUM:676767378;NUM:303375006;OP:XOR,977503244,XOR
NUM:747527168;NUM:869905736;OP:XOR,525855048,XOR
NUM:775652357;NUM:889802679;OP:XOR,456313778,XOR
NUM:800922973;NUM:382075991;OP:XOR,964368650,XOR
NUM:805626694;NUM:540057;OP:XOR,806149855,XOR
NUM:837388705;NUM:992297354;OP:XOR,181192747,XOR
NUM:843285684;NUM:323569204;OP:XOR,554353280,XOR
NUM:862123532;NUM:998769133;OP:XOR,149616609,XOR
NUM:862715463;NUM:782971855;OP:XOR,499174792,XOR
NUM:880108953;NUM:566698848;OP:XOR,364005113,XOR
NUM:894371758;NUM:265982371;OP:XOR,982881805,XOR
NUM:910570963;NUM:518728841;OP:XOR,682432858,XOR
NUM:955255094;NUM:859539579;OP:XOR,197886285,XOR
NUM:966524167;NUM:911438819;OP:XOR,264802020,XOR
NUM:988608248;NUM:819171680;OP:XOR,171927448,XOR
NUM:7927516;NUM:385817839;OP:NOR,3909091584,NOR
NUM:41100586;NUM:774444944;OP:NOR,3515140165,NOR
NUM:82815567;NUM:308617139;OP:NOR,3910156288,NOR
NUM:93015693;NUM:888426817;OP:NOR,3389038642,NOR
NUM:147042656;NUM:928245419;OP:NOR,3224111124,NOR
NUM:156859854;NUM:607877396;OP:NOR,3531899425,NOR
NUM:166586958;NUM:306547148;OP:NOR,3826390065,NOR
NUM:212012700;NUM:966620690;OP:NOR,3259007329,NOR
NUM:218566582;NUM:215630762;OP:NOR,4062228545,NOR
NUM:258615839;NUM:573850065;OP:NOR,3498152992,NOR
NUM:343108563;NUM:353249161;OP:NOR,3934294052,NOR
NUM:354395354;NUM:16790137;OP:NOR,3940567300,NOR
NUM:392485376;NUM:700466703;OP:NOR,3223003632,NOR
NUM:393826792;NUM:26073684;OP:NOR,3892454403,NOR
NUM:399225212;NUM:441177853;OP:NOR,3761506306,NOR
NUM:399253536;NUM:822011613;OP:NOR,3355515138,NOR
NUM:473216604;NUM:713075345;OP:NOR,3242934562,NOR
NUM:477607684;NUM:523623372;OP:NOR,3767009331,NOR
NUM:521896728;NUM:111639138;OP:NOR,3762291845,NOR
NUM:538686865;NUM:83440621;OP:NOR,3674490882,NOR
NUM:543247132;NUM:678272804;OP:NOR,3616678083,NOR
NUM:561324453;NUM:253531881;OP:NOR,3498199058,NOR
NUM:570833150;NUM:963438585;OP:NOR,3297837056,NOR
NUM:574026855;NUM:432131596;OP:NOR,3288859024,NOR
NUM:631654347;NUM:896577299;OP:NOR,3389591588,NOR
NUM:642539612;NUM:881095740;OP:NOR,3375598467,NOR
NUM:652757093;NUM:833663229;OP:NOR,3355903746,NOR
NUM:701755453;NUM:289161518;OP:NOR,3321892544,NOR
NUM:708394219;NUM:222258239;OP:NOR,3502277376,NOR
NUM:715553988;NUM:324318231;OP:NOR,3288924968,NOR
NUM:765711055;NUM:993456049;OP:NOR,3225944064,NOR
NUM:766769202;NUM:616639065;OP:NOR,3524003204,NOR
NUM:785865783;NUM:398560974;OP:NOR,3223855360,NOR
NUM:836440400;NUM:757606318;OP:NOR,3255093249,NOR
NUM:838168665;NUM:862681427;OP:NOR,3422586532,NOR
NUM:876599790;NUM:425778603;OP:NOR,3263177232,NOR
NUM:893349204;NUM:595753808;OP:NOR,3359670443,NOR
NUM:945496994;NUM:940271486;OP:NOR,3349452801,NOR
NUM:971801483;NUM:191684200;OP:NOR,3289587732,NOR
NUM:980022491;NUM:882531471;OP:NOR,3238265632,NOR
NUM:6637224;NUM:395132740;OP:ANDNOT,6308008,ANDNOT
NUM:18039042;NUM:118902817;OP:ANDNOT,65794,ANDNOT
NUM:41205469;NUM:482647038;OP:ANDNOT,36709377,ANDNOT
NUM:64942612;NUM:916523633;OP:ANDNOT,22999044,ANDNOT
NUM:110231368;NUM:365867869;OP:ANDNOT,34688000,ANDNOT
NUM:140823894;NUM:325275261;OP:ANDNOT,134512898,ANDNOT
NUM:141673935;NUM:505043500;OP:ANDNOT,6391235,ANDNOT
NUM:147144519;NUM:824000498;OP:ANDNOT,146800645,ANDNOT
NUM:167839408;NUM:674242125;OP:ANDNOT,33620144,ANDNOT
NUM:169663530;NUM:78744454;OP:ANDNOT,168580136,ANDNOT
NUM:190989945;NUM:433858756;OP:ANDNOT,35800633,ANDNOT
NUM:243550816;NUM:570727845;OP:ANDNOT,209732160,ANDNOT
NUM:332215437;NUM:103669384;OP:ANDNOT,297803781,ANDNOT
NUM:451051734;NUM:759944327;OP:ANDNOT,312475728,ANDNOT
NUM:451861885;NUM:402315148;OP:ANDNOT,134482033,ANDNOT
NUM:451996492;NUM:801279111;OP:ANDNOT,271606600,ANDNOT
NUM:460464491;NUM:316488183;OP:ANDNOT,153223176,ANDNOT
NUM:489284262;NUM:393864272;OP:ANDNOT,134218406,ANDNOT
NUM:562362429;NUM:989813537;OP:ANDNOT,16818204,ANDNOT
NUM:564223457;NUM:747998171;OP:ANDNOT,18895904,ANDNOT
NUM:584180286;NUM:8671449;OP:ANDNOT,575775270,ANDNOT
NUM:614561748;NUM:860118568;OP:ANDNOT,77668820,ANDNOT
NUM:658483263;NUM:658886955;OP:ANDNOT,3811348,ANDNOT
NUM:700520164;NUM:275282714;OP:ANDNOT,696321252,ANDNOT
NUM:726878313;NUM:112226965;OP:ANDNOT,692258920,ANDNOT
NUM:738567253;NUM:125293859;OP:ANDNOT,671096916,ANDNOT
NUM:765188113;NUM:644656941;OP:ANDNOT,160649232,ANDNOT
NUM:814411521;NUM:292988094;OP:ANDNOT,545803009,ANDNOT
NUM:848664480;NUM:917778628;OP:ANDNOT,100128,ANDNOT
NUM:876675436;NUM:13801841;OP:ANDNOT,872480780,ANDNOT
NUM:886040806;NUM:216726669;OP:ANDNOT,805634146,ANDNOT
NUM:913905599;NUM:808931895;OP:ANDNOT,105383304,ANDNOT
NUM:914819908;NUM:812139579;OP:ANDNOT,109513540,ANDNOT
NUM:922704374;NUM:691974218;OP:ANDNOT,381766068,ANDNOT
NUM:922798009;NUM:605879817;OP:ANDNOT,318767536,ANDNOT
NUM:928230298;NUM:948918603;OP:ANDNOT,122725008,ANDNOT
NUM:946719060;NUM:717653689;OP:ANDNOT,271141188,ANDNOT
NUM:949755789;NUM:240095169;OP:ANDNOT,814747660,ANDNOT
NUM:959105066;NUM:434178921;OP:ANDNOT,537575426,ANDNOT
NUM:998731532;NUM:93635;OP:ANDNOT,998638092,ANDNOT
NUM:46884246;NUM:292026212;OP:OR,334493686,OR
NUM:96070825;NUM:38376915;OP:OR,133823995,OR
NUM:112299436;NUM:952844307;OP:OR,1056689599,OR
NUM:133400537;NUM:220200459;OP:OR,268435419,OR
NUM:143761310;NUM:766656452;OP:OR,766754782,OR
NUM:168528627;NUM:675038290;OP:OR,708824819,OR
NUM:169388962;NUM:594535891;OP:OR,729804787,OR
NUM:174677877;NUM:463806366;OP:OR,468541439,OR
NUM:216527489;NUM:541109795;OP:OR,753401507,OR
NUM:244511917;NUM:999857064;OP:OR,1067122605,OR
NUM:275138624;NUM:772655966;OP:OR,1047513950,OR
NUM:280017647;NUM:58673025;OP:OR,335544303,OR
NUM:341761872;NUM:119210934;OP:OR,392159222,OR
NUM:377033095;NUM:247881686;OP:OR,520052695,OR
NUM:392348443;NUM:735266341;OP:OR,1072940863,OR
NUM:410298546;NUM:815001079;OP:OR,955772407,OR
NUM:410688688;NUM:480754985;OP:OR,486522297,OR
NUM:411195520;NUM:888510980;OP:OR,1022876292,OR
NUM:411324709;NUM:659416911;OP:OR,1070462831,OR
NUM:415993275;NUM:395228547;OP:OR,533708219,OR
NUM:450381376;NUM:453035401;OP:OR,467191753,OR
NUM:456082006;NUM:457814073;OP:OR,460321407,OR
NUM:481894876;NUM:960718822;OP:OR,1039886334,OR
NUM:488758291;NUM:864230921;OP:OR,1067703835,OR
NUM:569139239;NUM:40805124;OP:OR,602858279,OR
NUM:572869111;NUM:944734299;OP:OR,980404735,OR
NUM:611756036;NUM:951798483;OP:OR,1023404759,OR
NUM:616365265;NUM:475227099;OP:OR,1023410139,OR
NUM:624516295;NUM:248551328;OP:OR,804904935,OR
NUM:700647994;NUM:253218714;OP:OR,802672570,OR
NUM:704962621;NUM:872206369;OP:OR,1006432317,OR
NUM:828219846;NUM:622552811;OP:OR,895477743,OR
NUM:868203229;NUM:782285119;OP:OR,1069530111,OR
NUM:928622182;NUM:996270128;OP:OR,1064953462,OR
NUM:928871493;NUM:847979752;OP:OR,937391341,OR
NUM:936097610;NUM:490027949;OP:OR,1073725423,OR
NUM:952484473;NUM:886378897;OP:OR,1020646393,OR
NUM:964314683;NUM:535204209;OP:OR,1073665915,OR
NUM:968152671;NUM:391897746;OP:OR,1073739487,OR
NUM:991293202;NUM:607508621;OP:OR,1060503455,OR
NUM:19254514;NUM:370816908;OP:AND,1152,AND
NUM:53750068;NUM:303123600;OP:AND,34605072,AND
NUM:78615534;NUM:740197496;OP:AND,68059240,AND
NUM:91152049;NUM:16941863;OP:AND,16941601,AND
NUM:105153806;NUM:242351324;OP:AND,104891404,AND
NUM:129714603;NUM:229666102;OP:AND,95439138,AND
NUM:137022544;NUM:438005370;OP:AND,134892624,AND
NUM:141150806;NUM:299637830;OP:AND,4720710,AND
NUM:149429852;NUM:949410084;OP:AND,142612484,AND
NUM:151334916;NUM:290753696;OP:AND,17039360,AND
NUM:165478159;NUM:889539911;OP:AND,17059079,AND
NUM:212544379;NUM:773207783;OP:AND,201466467,AND
NUM:223657866;NUM:190731612;OP:AND,156505352,AND
NUM:239911561;NUM:380855315;OP:AND,100679681,AND
NUM:243874560;NUM:510845094;OP:AND,234889216,AND
NUM:247977954;NUM:488364418;OP:AND,201576834,AND
NUM:278273823;NUM:698944083;OP:AND,8391187,AND
NUM:305554219;NUM:344593448;OP:AND,268566568,AND
NUM:328632839;NUM:845912003;OP:AND,302154243,AND
NUM:360642217;NUM:193284644;OP:AND,17056288,AND
NUM:363814761;NUM:693941750;OP:AND,17569120,AND
NUM:449476622;NUM:104461068;OP:AND,34107404,AND
NUM:466596749;NUM:284829737;OP:AND,281681929,AND
NUM:486009121;NUM:547905543;OP:AND,10510337,AND
NUM:505476218;NUM:433342475;OP:AND,402669578,AND
NUM:544629617;NUM:793252495;OP:AND,541065729,AND
NUM:548957985;NUM:372086068;OP:AND,2622752,AND
NUM:644855795;NUM:293378896;OP:AND,7115600,AND
NUM:689798268;NUM:542194064;OP:AND,537999376,AND
NUM:713899421;NUM:783476080;OP:AND,713041168,AND
NUM:744063620;NUM:477133920;OP:AND,206569472,AND
NUM:759975645;NUM:734306359;OP:AND,692322325,AND
NUM:767428729;NUM:9145815;OP:AND,9046097,AND
NUM:806741468;NUM:365352032;OP:AND,268747840,AND
NUM:851498919;NUM:680433844;OP:AND,545296548,AND
NUM:925401664;NUM:364716113;OP:AND,354943040,AND
NUM:941817076;NUM:396589063;OP:AND,270694404,AND
NUM:948340124;NUM:248452857;OP:AND,143000728,AND
NUM:949289000;NUM:797647381;OP:AND,679542784,AND
NUM:956721416;NUM:211212365;OP:AND,134629384,AND
NUM:10463363;NUM:61182155;OP:ORNOT,4242534327,ORNOT
NUM:12228834;NUM:607470878;OP:ORNOT,3690642147,ORNOT
NUM:28974003;NUM:940858159;OP:ORNOT,3355164659,ORNOT
NUM:45638229;NUM:262528293;OP:ORNOT,4076495583,ORNOT
NUM:49159596;NUM:68948426;OP:ORNOT,4226809789,ORNOT
NUM:99771907;NUM:678498186;OP:ORNOT,3623810679,ORNOT
NUM:133252864;NUM:966482971;OP:ORNOT,3354781668,ORNOT
NUM:161544431;NUM:885712195;OP:ORNOT,3417701119,ORNOT
NUM:164650421;NUM:20158953;OP:ORNOT,4292640695,ORNOT
NUM:169070640;NUM:28828082;OP:ORNOT,4267433597,ORNOT
NUM:182635478;NUM:396307763;OP:ORNOT,3940735966,ORNOT
NUM:251423350;NUM:982161517;OP:ORNOT,3489492982,ORNOT
NUM:271983221;NUM:782596430;OP:ORNOT,3514738421,ORNOT
NUM:280084842;NUM:878306763;OP:ORNOT,3686259582,ORNOT
NUM:308044475;NUM:687972918;OP:ORNOT,3607003131,ORNOT
NUM:317706005;NUM:469799152;OP:ORNOT,4093636383,ORNOT
NUM:333165376;NUM:915849294;OP:ORNOT,3690708977,ORNOT
NUM:349972674;NUM:36820754;OP:ORNOT,4259195119,ORNOT
NUM:354195132;NUM:395565508;OP:ORNOT,4252808895,ORNOT
NUM:387463591;NUM:115434421;OP:ORNOT,4280204783,ORNOT
NUM:391015886;NUM:84292345;OP:ORNOT,4294962638,ORNOT
NUM:438167351;NUM:252064930;OP:ORNOT,4210945919,ORNOT
NUM:455281947;NUM:634288845;OP:ORNOT,3677588795,ORNOT
NUM:455449604;NUM:217934098;OP:ORNOT,4213677805,ORNOT
NUM:542621875;NUM:935626973;OP:ORNOT,3900700595,ORNOT
NUM:562279089;NUM:863125317;OP:ORNOT,3985633979,ORNOT
NUM:576138904;NUM:585654299;OP:ORNOT,4283940860,ORNOT
NUM:590022054;NUM:520084491;OP:ORNOT,3811256310,ORNOT
NUM:606863460;NUM:81177260;OP:ORNOT,4281161079,ORNOT
NUM:635753277;NUM:557703864;OP:ORNOT,4293320575,ORNOT
NUM:647450626;NUM:971291955;OP:ORNOT,3869201102,ORNOT
NUM:673908697;NUM:510556802;OP:ORNOT,3921381373,ORNOT
NUM:688726837;NUM:706262484;OP:ORNOT,4260326207,ORNOT
NUM:786720912;NUM:818601278;OP:ORNOT,4025838289,ORNOT
NUM:791300966;NUM:112812215;OP:ORNOT,4285456238,ORNOT
NUM:854699738;NUM:884331214;OP:ORNOT,4227575803,ORNOT
NUM:858147810;NUM:735322316;OP:ORNOT,4147109875,ORNOT
NUM:866077541;NUM:890158847;OP:ORNOT,4227812197,ORNOT
NUM:883916024;NUM:1744656;OP:ORNOT,4293885183,ORNOT
NUM:888414191;NUM:153661475;OP:ORNOT,4143407103,ORNOT
NUM:25270507;NUM:552199093;OP:EQU,3734471841,EQU
NUM:68175500;NUM:853055016;OP:EQU,3375837019,EQU
NUM:88788155;NUM:859938014;OP:EQU,3388256154,EQU
NUM:193235005;NUM:781944557;OP:EQU,3672174895,EQU
NUM:199098795;NUM:127254475;OP:EQU,4088676767,EQU
NUM:228452089;NUM:722387525;OP:EQU,3647789891,EQU
NUM:244716275;NUM:995473310;OP:EQU,3392952978,EQU
NUM:264172377;NUM:64346704;OP:EQU,4086617846,EQU
NUM:282402147;NUM:632950248;OP:EQU,3398496116,EQU
NUM:283416641;NUM:655547393;OP:EQU,3356081087,EQU
NUM:288060884;NUM:788040702;OP:EQU,3224109525,EQU
NUM:301770832;NUM:307186006;OP:EQU,4232847097,EQU
NUM:312888721;NUM:796419880;OP:EQU,3256997190,EQU
NUM:332064821;NUM:339612830;OP:EQU,4161471316,EQU
NUM:360855373;NUM:904804672;OP:EQU,3751014898,EQU
NUM:386817696;NUM:889524702;OP:EQU,3723800705,EQU
NUM:400791874;NUM:357461021;OP:EQU,4250012320,EQU
NUM:523567306;NUM:39075749;OP:EQU,3802054800,EQU
NUM:552598821;NUM:645398386;OP:EQU,4184341928,EQU
NUM:561029116;NUM:732957489;OP:EQU,4114574130,EQU
NUM:569320973;NUM:390584972;OP:EQU,3377922942,EQU
NUM:665551398;NUM:251539171;OP:EQU,3601486650,EQU
NUM:669232517;NUM:151503141;OP:EQU,3508245343,EQU
NUM:700468203;NUM:650800583;OP:EQU,4042643923,EQU
NUM:745186586;NUM:442342706;OP:EQU,3385378775,EQU
NUM:745995911;NUM:375521367;OP:EQU,3320512815,EQU
NUM:805261928;NUM:70937372;OP:EQU,3560621707,EQU
NUM:820862265;NUM:101884963;OP:EQU,3372222181,EQU
NUM:825358040;NUM:517612898;OP:EQU,3490982981,EQU
NUM:830708190;NUM:746064987;OP:EQU,3791940218,EQU
NUM:870546015;NUM:464355059;OP:EQU,3618765651,EQU
NUM:877666523;NUM:888761943;OP:EQU,4283871603,EQU
NUM:884763936;NUM:472450553;OP:EQU,3614086950,EQU
NUM:893288633;NUM:565220849;OP:EQU,3950111415,EQU
NUM:907380780;NUM:952329488;OP:EQU,4046000835,EQU
NUM:920771688;NUM:538320837;OP:EQU,3909631058,EQU
NUM:922589904;NUM:16722152;OP:EQU,3388820935,EQU
NUM:923986215;NUM:5350150;OP:EQU,3367810526,EQU
NUM:987139497;NUM:51240690;OP:EQU,3324292260,EQU
NUM:995239234;NUM:184389669;OP:EQU,3461368472,EQU
NUM:30065600;NUM:123856911;OP:NAND,4273946623,NAND
NUM:47109174;NUM:934040320;OP:NAND,4252217343,NAND
NUM:87848782;NUM:545309319;OP:NAND,4294950393,NAND
NUM:132777401;NUM:844030425;OP:NAND,4256562790,NAND
NUM:139879386;NUM:568615559;OP:NAND,4290485629,NAND
NUM:155478483;NUM:755517684;OP:NAND,4143953711,NAND
NUM:222208432;NUM:628910554;OP:NAND,4207140463,NAND
NUM:230339645;NUM:997334924;OP:NAND,4140690419,NAND
NUM:237691646;NUM:917670954;OP:NAND,4192042965,NAND
NUM:240877640;NUM:598881367;OP:NAND,4260233151,NAND
NUM:256093461;NUM:812124787;OP:NAND,4290770926,NAND
NUM:266474608;NUM:525307022;OP:NAND,4038982655,NAND
NUM:273821619;NUM:869332335;OP:NAND,4021279452,NAND
NUM:373348195;NUM:694971698;OP:NAND,4290755293,NAND
NUM:390518307;NUM:991694833;OP:NAND,3975936478,NAND
NUM:420491419;NUM:892902554;OP:NAND,4008701797,NAND
NUM:439810290;NUM:543041173;OP:NAND,4293517167,NAND
NUM:525329245;NUM:668342784;OP:NAND,4172938751,NAND
NUM:550908352;NUM:361189721;OP:NAND,4286181055,NAND
NUM:573106773;NUM:756331386;OP:NAND,3758054831,NAND
NUM:582564565;NUM:41269932;OP:NAND,4258186619,NAND
NUM:588725738;NUM:175354777;OP:NAND,4260154999,NAND
NUM:605011902;NUM:827352168;OP:NAND,3758087127,NAND
NUM:632186534;NUM:831924974;OP:NAND,3732528473,NAND
NUM:632474475;NUM:259089249;OP:NAND,4207918238,NAND
NUM:725519721;NUM:636809093;OP:NAND,3737875198,NAND
NUM:732135175;NUM:539591996;OP:NAND,3755932411,NAND
NUM:781406879;NUM:279918822;OP:NAND,4286377849,NAND
NUM:788019925;NUM:778561837;OP:NAND,3516913658,NAND
NUM:801120186;NUM:234548732;OP:NAND,4064277063,NAND
NUM:811783928;NUM:50636267;OP:NAND,4294933271,NAND
NUM:825614431;NUM:693132221;OP:NAND,3740254178,NAND
NUM:833919598;NUM:783776020;OP:NAND,3746293755,NAND
NUM:894729586;NUM:689969288;OP:NAND,3741313023,NAND
NUM:907489952;NUM:912940191;OP:NAND,3388862335,NAND
NUM:909356201;NUM:641138383;OP:NAND,3654112118,NAND
NUM:914284514;NUM:271735264;OP:NAND,4023232031,NAND
NUM:939705005;NUM:282097980;OP:NAND,4026515411,NAND
NUM:969282092;NUM:192070040;OP:NAND,4139646967,NAND
NUM:985857329;NUM:586060662;OP:NAND,3711790799,NAND
NUM:670395051;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:879197219;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:753335143;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:509332156;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:36270877;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:922023855;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:637442700;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:453255871;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:740340583;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:543870613;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:703408981;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:447853535;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:935969885;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:648282159;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:284975155;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:770878885;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:1416990;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:321990098;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:917052833;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:341016407;OP:XOR,ERROR,ERROR_NUM_XOR
NUM:164017452;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:119897942;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:763063985;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:6689096;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:75317209;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:173487637;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:834711333;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:780370332;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:297322591;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:21542667;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:69330864;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:470424092;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:715936098;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:175105680;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:983696258;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:653560008;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:187797066;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:276072354;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:172912328;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:817313494;OP:NOR,ERROR,ERROR_NUM_NOR
NUM:392107111;OP:ANDNOT,ERROR,ERROR_NUM_ANDNOT
NUM:920449078;OP:ANDNOT,ERROR,ERROR_NUM_ANDNOT
NUM:165099477;OP:ANDNOT,ERROR,ERROR_NUM_ANDNOT
